,check,reward,mib,seed
291,WingRaptor New,Rune Axe,,4624269
292,Karlabos New,Ribbon,,4624269
293,Siren New,Masamune,,4624269
294,Galura New,Avis Killer,,4624269
295,LiquiFlame New,DblLance,,4624269
296,Sergeant & DeathClaw New,Aegis Shield,,4624269
297,AdamanTiMi New,Genji Shield,,4624269
298,Sol Cannon New,Genji Helm,,4624269
299,Chim.Brain New,DoomCut,,4624269
300,Titan New,DiamndPlt,,4624269
301,Gilgamesh 2 New,Crystal Shield,,4624269
302,Tyrasaurus New,DarkSuit,,4624269
303,Odin New,25000 gil,,4624269
304,Omniscient New,Genji Gloves,,4624269
305,Minotauros New,Genji Armor,,4624269
306,Leviathan New,Holy Lance,,4624269
307,GoGo New,Genji Helm,,4624269
308,Ifrit New,Elf Cape,,4624269
0,Wind Crystal Knight,Dream Harp,,6019304
1,Wind Crystal BlueMage,Ninja Job Crystal,,6019304
2,Wind Crystal BlackMage,Air Lance,,6019304
3,Wind Crystal WhiteMage,Tame,,6019304
4,Wind Crystal Monk,Power Wrist,,6019304
5,Wind Crystal Thief,Iron Helm,,6019304
6,Fire Crystal Mediator,Dragoon Job Crystal,,6019304
7,Fire Crystal Geomancer,DblLance,,6019304
8,Fire Crystal Ninja,Silver Bow,,6019304
9,Black Choco Crystals Bard,White Ability Progressive,,6019304
10,Black Choco Crystals Hunter,Thief Job Crystal,,6019304
11,Earth Crystal Samurai,DarkSuit,,6019304
12,Earth Crystal Dragoon,Healing Staff,,6019304
13,Earth Crystal Chemist,Tiger Mask,,6019304
14,Earth Crystal Dancer,Speed->Requiem Song,,6019304
15,Leviathan Esper Levia,Chocob->Titan->Golem->Odin,,6019304
16,Titan Titan,Killer Bow,,6019304
17,Carbuncle Crbnkl,Mute->Psych->Holy Sword,,6019304
18,Syldra Syldra,Staff,,6019304
19,Odin Odin,Power Staff,,6019304
20,Phoenix Phenix,Broadsword,,6019304
21,Bahamut Bahmut,Gold Hairpin,,6019304
22,Life (or Strength) Song from Crescent Town bard Vitality,GuardOff->Hammer->MghtyGrd,,6019304
23,Temptation Song at Lix Charm,MP +X%,,6019304
24,Love Song at Istory Love,LuckMallet,,6019304
25,Requiem Song at Kelb Requiem,Power->Vitality Song,,6019304
26,Speed Song at Surgate Speed,Gauntlets,,6019304
27,Magic Song at Ancient Library Magic,Bolt Sword Magic Progressive,,6019304
28,Power Song from Crescent Town Power,Artemis Bow,,6019304
29,Hero Song from Crescent Town Hero,Enhancer,,6019304
30,"Fork Tower, two Magics Holy",L4Qrter->L3Flare->L2Old->L5Doom,,6019304
31,"Fork Tower, two Magics Flare",Equip Whips,,6019304
32,Meteo Meteo,White Ability Progressive,,6019304
33,"5 potions in Wind Shrine, bottom left guy Potion",Wizard Rod,,6019304
34,"8 potions, Pirate after Torna Canal Key acquired Potion",RegalCut,,6019304
35,Chancellor at Tycoon Healing Staff,Earth Bell,,6019304
36,Magisa & Forza Mythril Helm,Fire Black Magic Progressive,,6019304
37,CornaJar at Kelb CornaJar,Smoke,,6019304
38,Ribbon from girl in Rugor Ribbon,Bolt Black Magic Progressive,,6019304
39,Mirage Vest from Chocobo Tour/Mirage Village Mirage Vest,Evade,,6019304
40,12 Kuzar Events Assassin,Conjure,,6019304
41,12 Kuzar Events Apollo's Harp,IceBrand,,6019304
42,12 Kuzar Events Excalibur,Morning Star,,6019304
43,12 Kuzar Events Flame Whip,Crystal Shield,,6019304
44,12 Kuzar Events Earth Bell,Bolt Black Magic Progressive,,6019304
45,12 Kuzar Events Holy Lance,BlackMage Job Crystal,,6019304
46,12 Kuzar Events Masamune,DoomCut,,6019304
47,12 Kuzar Events Wizard Rod,DrgnCrest,,6019304
48,12 Kuzar Events Rune Axe,Ice Rod,,6019304
49,12 Kuzar Events Sage's Staff,Black Ability Progressive,,6019304
50,12 Kuzar Events Sasuke,Thor Hammer,,6019304
51,12 Kuzar Events Yoichi Bow,AntiMagic Bow,,6019304
52,Shiva Shiva,Tiger Mask,,6019304
53,Ifrit Ifrit,Air Blade,,6019304
54,Water Crystal Samurai,Mute->Psych->Holy Sword,,6019304
55,Water Crystal Berserker,FrogSong->TinySong->MoonFlut,,6019304
56,Water Crystal MysticKnight,Katana,,6019304
57,Water Crystal TimeMage,Silver Armlet,,6019304
58,Water Crystal Summoner,Ether,,6019304
59,Brave Blade Brave Blade,Analyze,,6019304
60,Chicken Knife Chicken Knife,HiPotion,,6019304
61,Tycoon Castle Cabin Cabin,Armor->Shell->Wall->Dispel,,6019304
62,Walse Tower Chest GoGo,Mute->Size->Bersk,,6019304
63,Pyramid Top Pyramid Tablet,Thief Knife,,6019304
64,Toad Event Toad,Mimic Job Crystal,,6019304
65,Aegis Shield Chest Aegis Shield,Equip Spears,,6019304
66,Lone Wolf Barrel Cabin,Speed->Requiem Song,,6019304
67,Lone Wolf Chest Thunder Whip,Shiva->Ramuh->Ifrit->Bahmut,,6019304
68,Moat Item Epee,Regen->Float->Reset->Xzone,,6019304
69,Shop Backdoor Lamia Harp,Apollo's Harp,,6019304
70,Top of the Falls Magic Lamp,????->Fusion->Exploder->DrkShock,,6019304
71,Wind Shrine Chest Broadsword,Crystal Shield,,6019304
72,Beginner's House Chest Ether,Escape,,6019304
73,Beginner's House Chest 100,HP +X%,,6019304
74,Beginner's House Chest Potion,5000 gil,,6019304
75,Beginner's House Chest Phoenix Down,Soft,,6019304
76,Beginner's House Chest Tent,Black Ability Progressive,,6019304
77,Beginner's House Chest Leather Shoes,Broadsword,,6019304
78,Pirate's Cave Chest Leather Cap,Soft,,6019304
79,Pirate's Cave Chest Tent,RegalCut,,6019304
80,Pirate's Cave Chest Ether,LuckMallet,,6019304
81,Pirate's Cave Chest 300,Revivify,,6019304
82,Wind Shrine Chest Tent,Equip Harps,,6019304
83,Wind Shrine Chest Leather Cap,HP +X%,,6019304
84,Wind Shrine Chest Staff,5000 gil,,6019304
85,Tule Barrel 150,9900 gil,,6019304
86,Tule Box Leather Shoes,Flametongue,,6019304
87,Tule Barrel Potion,Aegis Shield,,6019304
88,Tule Box Tent,Whip,MIB,6019304
89,Tule Bush Phoenix Down,TurtleShell,,6019304
90,Ship Graveyard Chest Flail,Fire Sword Magic Progressive,,6019304
91,Ship Graveyard Chest Phoenix Down,1000 gil,,6019304
92,Ship Graveyard Chest Tent,Chemist Job Crystal,,6019304
93,Ship Graveyard Box 990,2500 gil,,6019304
94,Ship Graveyard Chest Potion,Silver Bow,,6019304
95,Ship Graveyard Chest Antidote,GuardOff->Hammer->MghtyGrd,,6019304
96,Carwen Barrel Antidote,Antidote,,6019304
97,Carwen Box Ice Rod,15000 gil,,6019304
98,Carwen Pot 1000,Gungnir,,6019304
99,North Mountain Chest Soft,10000 gil,,6019304
100,North Mountain Chest Phoenix Down,8000 gil,,6019304
101,Walse Town Pot Glasses,Sylph->Crbnkl->Phenix->Syldra,,6019304
102,Tycoon Castle Pot Hi-Potion,Dancer Job Crystal,,6019304
103,Tycoon Castle Pot Ether,Preemptive,,6019304
104,Tycoon Castle Barrel Elixir,10000 gil,,6019304
105,Tycoon Castle Barrel Phoenix Down,Black Ability Progressive,,6019304
106,Tycoon Castle Barrel Cabin,Hide,,6019304
107,Tycoon Castle Pot Elixir,Speed Drink,,6019304
108,Tycoon Castle Pot Phoenix Down,Phoenix Down,,6019304
109,Tycoon Castle Pot Maiden's Kiss,Sylph->Crbnkl->Phenix->Syldra,,6019304
110,Tycoon Castle Chest Shuriken,Shuriken,,6019304
111,Tycoon Castle Chest Giyaman,Cabin,,6019304
112,Tycoon Castle Chest Katana,Staff,,6019304
113,Walse Castle Chest Elf Cape,MgcSword Ability Progressive,,6019304
114,Walse Castle Pot 1000,990 gil,,6019304
115,Walse Castle Pot Drag,Wizard Rod,,6019304
116,Walse Castle Box 490,Broadsword,,6019304
117,Walse Castle Barrel Tent,Excalibur,,6019304
118,Walse Castle Barrel Phoenix Down,????->Fusion->Exploder->DrkShock,,6019304
119,Walse Tower Chest Silk robe,Golden Shield,,6019304
120,Walse Tower Chest Maiden's Kiss,990 gil,,6019304
121,Walse Tower Chest Silver Armlet,9000 gil,,6019304
122,Walse Tower Chest Ether,8000 gil,,6019304
123,Tycoon Meteor Chest Phoenix Down,Air Blade,,6019304
124,Karnak Castle Chest Gungnir,Soot,MIB,6019304
125,Karnak Castle Chest Thunder Scroll,Eyedrop,MIB,6019304
126,Karnak Castle Chest 2000,Ice Bow,MIB,6019304
127,Karnak Castle Chest Elixir,Guardian,MIB,6019304
128,Karnak Castle Chest Ribbon,Black Robe,MIB,6019304
129,Karnak Castle Chest Shuriken,Water Scroll,MIB,6019304
130,Karnak Castle Chest Elf Cape,Whip,MIB,6019304
131,Karnak Castle Chest Guardian,DiamndPlt,MIB,6019304
132,Karnak Town Barrel Fire Rod,Silver Plate,,6019304
133,Steamship Chest Cabin,Air Lance,,6019304
134,Steamship Chest Phoenix Down,Dragon's Whisker,,6019304
135,Steamship Chest Elixir,Cure White Magic Progressive,,6019304
136,Steamship Chest GrnBeret,MgcSword Ability Progressive,,6019304
137,Steamship Chest Thief's Glove,Iron Armor,,6019304
138,Ancient Library Chest Ether,9000 gil,,6019304
139,Ancient Library Chest Phoenix Down,White Robe,,6019304
140,Ancient Library Chest Stealth Suit,1000 gil,,6019304
141,Jacole Cave Chest Shuriken,10000 gil,,6019304
142,Jacole Cave Chest Tent,Forged,,6019304
143,Ruined City Chest Shuriken,War Hammer,,6019304
144,Ruined City Chest Size,18000 gil,,6019304
145,Flying Lonka Ruins Chest Golden Armor,Sleep->Bio->Flare Sword,,6019304
146,Flying Lonka Ruins Chest Elixir,490 gil,,6019304
147,Flying Lonka Ruins Chest Phoenix Down,Bronze Shield,,6019304
148,Flying Lonka Ruins Chest Golden Shield,Air Blade,,6019304
149,Steamship Chest Mythril Glove,Spear,,6019304
150,Steamship Chest Full Moon,9000 gil,,6019304
151,Flying Lonka Ruins Chest Hi-Potion,300 gil,,6019304
152,Flying Lonka Ruins Chest 5000,Jump,,6019304
153,Flying Lonka Ruins Chest Shuriken,Earth Hammer,,6019304
154,Flying Lonka Ruins Chest Ancient Sword,2000 gil,,6019304
155,Flying Lonka Ruins Chest Full Moon,Red1->Red2->Red3->X-Magic,,6019304
156,Flying Lonka Ruins Chest Power Wrist,Antidote,,6019304
157,Flying Lonka Ruins Chest Ether,5000 gil,,6019304
158,Flying Lonka Ruins Chest Cabin,Power Wrist,,6019304
159,Exdeath's Castle Chest Ether,Coral Sword,,6019304
160,Exdeath's Castle Chest Diamond Shield,20000 gil,,6019304
161,Exdeath's Castle Chest Ice Shield,Soft,,6019304
162,Exdeath's Castle Chest Elixir,100 gil,,6019304
163,Exdeath's Castle Chest Gale Bow,Summon Ability Progressive,,6019304
164,Exdeath's Castle Chest IceBrand,Enhancer,,6019304
165,Exdeath's Castle Chest Kotetsu,Ancient Sword,,6019304
166,Exdeath's Castle Chest 9900,Elixir,,6019304
167,Exdeath's Castle Chest 8000,MgcSword Ability Progressive,,6019304
168,Exdeath's Castle Chest DblLance,MgcSword Ability Progressive,,6019304
169,Exdeath's Castle Chest Partisan,HiPotion,,6019304
170,Exdeath's Castle Chest Pinwheel,Mythril Shield,,6019304
171,Moogle Cave Chest 4400,White Ability Progressive,,6019304
172,Moogle Cave Chest Phoenix Down,Geomancer Job Crystal,,6019304
173,Moogle Village Chest Cabin,Caution,,6019304
174,Moogle Village Chest Dancing Dagger,12000 gil,,6019304
175,Moogle Village Chest 1,1000 gil,,6019304
176,Moogle Village Chest 10000,Cotton Robe,,6019304
177,Moogle Village Chest Phoenix Down,Thunder Rod,,6019304
178,Moogle Village Chest Ether,Equip Shield,,6019304
179,Moogle Village Chest Elf Cape,DblLance,,6019304
180,Bal Castle Chest Angel Gwn,Genji Gloves,,6019304
181,Bal Castle Chest Hero Drink,5000 gil,,6019304
182,Bal Castle Chest Exit,Rod,,6019304
183,Hiryuu Valley Skull Bone Mail,1000 gil,,6019304
184,Hiryuu Valley Chest 5000,100 gil,,6019304
185,Hiryuu Valley Chest Cabin,Mediator Job Crystal,,6019304
186,Hiryuu Valley Chest 7000,Summon Ability Progressive,,6019304
187,Hiryuu Valley Chest Coronet,4400 gil,,6019304
188,Hiryuu Valley Chest Air Blade,IceBrand,,6019304
189,Hiryuu Valley Chest Phoenix Down,TurtleShell,,6019304
190,Surgate Castle Chest 5000,Guardian,,6019304
191,Surgate Castle Chest Float,9500 gil,,6019304
192,Barrier Tower Chest Drain Sword,Angel Ring,,6019304
193,Barrier Tower Chest 9000,Ice Shield,MIB,6019304
194,Barrier Tower Chest 18000,Mantra,,6019304
195,Barrier Tower Chest Gold Hairpin,Potion,MIB,6019304
196,Mua Town Barrel Guardian,Crystal Armor,,6019304
197,Mua Forest Chest 2500,Toad->Bio->Flare,,6019304
198,Mua Forest Chest Ether,Power Drink,,6019304
199,Mua Forest Chest 4900,Antdt->Image->Heal,,6019304
200,Mua Forest Chest Phoenix Down,Blue,,6019304
201,Mua Forest Chest 9500,4900 gil,,6019304
202,Mua Forest Chest Soot,Soot,,6019304
203,Mua Forest Chest Flametongue,Gaia Gear,,6019304
204,Mua Forest Chest Cabin,Cabin,,6019304
205,Mua Forest Chest Giant Drink,2000 gil,,6019304
206,Mua Forest Chest Elixir,????->Fusion->Exploder->DrkShock,,6019304
207,Mua Forest Chest Morning Star,Whip,,6019304
208,Solitary Island Chest Ether,Defender Sword,MIB,6019304
209,Solitary Island Chest DragonFang,HiPotion,,6019304
210,Pyramid Chest Elixir,Guard Ring,MIB,6019304
211,Pyramid Chest Black Robe,Angel Ring,MIB,6019304
212,Pyramid Chest Thornlet,Lamia's Harp,,6019304
213,Pyramid Chest DarkMatter,CornaJar,MIB,6019304
214,Pyramid Chest Crystal Armor,Tinkerbell,,6019304
215,Pyramid Chest Cursed Ring,Ice Sword Magic Progressive,,6019304
216,Pyramid Chest Ice Shield,Giant's Gloves,MIB,6019304
217,Pyramid Chest Flame Shield,Leather Shoes,,6019304
218,Pyramid Chest White Robe,Holy Lance,MIB,6019304
219,Pyramid Chest DarkSuit,Cursed Ring,,6019304
220,Pyramid Chest 9000,Ice Shield,MIB,6019304
221,Pyramid Chest 8000,Spear,,6019304
222,Pyramid Chest Earth Hammer,Chain Whip,MIB,6019304
223,Pyramid Chest 10000,Guard Ring,,6019304
224,Pyramid Chest Cabin,Dream Harp,MIB,6019304
225,Pyramid Chest 12000,Dance,,6019304
226,Pyramid Chest Guard Ring,Steal,,6019304
227,Pyramid Chest Ribbon,Flash->Time Slip->DethClaw,,6019304
228,Pyramid Chest Gold Hairpin,Sasuke,MIB,6019304
229,Solitary Island Chest 12000,Condemn->Roulette->AquaRake,,6019304
230,Solitary Island Chest Hi-Potion,20000 gil,,6019304
231,Solitary Island Chest Protect Drink,LuckMallet,,6019304
232,Solitary Island Chest BeastKiller,Charm->Hero@Song,,6019304
233,Solitary Island Chest RisingSun,Kunai,,6019304
234,Solitary Island Chest Guard Ring,Shoat,,6019304
235,Solitary Island Chest Crystal Helm,Life->Life2,,6019304
236,Solitary Island Chest 9000,Katana,,6019304
237,Solitary Island Chest Elixir,Avis Killer,,6019304
238,Solitary Island Chest DarkMatter,Wind Spear,MIB,6019304
239,Solitary Island Chest Circlet,Rune Chime,,6019304
240,Fork Tower L. Chest Ether,12000 gil,,6019304
241,Fork Tower L. Chest Wonder Wand,Shiva->Ramuh->Ifrit->Bahmut,,6019304
242,Fork Tower R. Chest Hi-Potion,10000 gil,,6019304
243,Fork Tower R. Chest Defender Sword,Mythril Knife,,6019304
244,Great Trench Chest Water Scroll,Power Drink,,6019304
245,Great Trench Chest Flame Ring,Yoichi Bow,,6019304
246,Great Trench Chest DragonFang,Armor->Shell->Wall->Dispel,,6019304
247,Great Trench Chest Ether,12000 gil,,6019304
248,Great Trench Chest Phoenix Down,Summon Ability Progressive,,6019304
249,Great Trench Chest Kaiser Knuckles,Kaiser Knuckles,,6019304
250,Istory Falls Chest Ether,Bard's Surplice,,6019304
251,Istory Falls Chest TurtleShell,AntiMagic Bow,,6019304
252,Istory Falls Chest Air Lance,10000 gil,,6019304
253,Istory Falls Chest Giant Drink,Bard Job Crystal,,6019304
254,Istory Falls Chest RuneEdge,Berserk,,6019304
255,Istory Falls Chest Guard Ring,Sylph->Crbnkl->Phenix->Syldra,,6019304
256,Istory Falls Chest Wall Ring,Wall Ring,,6019304
257,Istory Falls Chest Phoenix Down,Whip,,6019304
258,Istory Falls Chest Enhancer,Thunder Scroll,,6019304
259,Istory Falls Chest 12000,Comet->Meteo,,6019304
260,Istory Falls Chest Artemis Bow,Ice Black Magic Progressive,,6019304
261,Istory Falls Chest Pinwheel,Flash->Time Slip->DethClaw,,6019304
262,Istory Falls Chest Aegis Shield,Training Suit,,6019304
263,Istory Falls Chest Giant's Axe,150 gil,,6019304
264,Phoenix Tower Pot 5000,Silk robe,,6019304
265,Phoenix Tower Pot Phoenix Down,Bandana,MIB,6019304
266,Phoenix Tower Pot 10000,Revivify,MIB,6019304
267,Phoenix Tower Pot 15000,Tricorn Hat,MIB,6019304
268,Phoenix Tower Pot 20000,Maiden's Kiss,MIB,6019304
269,Phoenix Tower Pot Avis Killer,Flame Scroll,,6019304
270,Phoenix Tower Pot 25000,Broadsword,,6019304
271,Mirage Village Barrel Thief Knife,FrogSong->TinySong->MoonFlut,,6019304
272,Rift (Ruins) Chest Ether,Toad->Bio->Flare,,6019304
273,Rift (Ruins) Chest Cabin,Flame Scroll,,6019304
274,Rift (Ruins) Chest Elixir,Drain Sword,,6019304
275,Rift (Ruins) Chest DarkMatter,Venom->Drain->Break Sword,,6019304
276,Rift (Ruins) Chest Drain Sword,GilToss,,6019304
277,Rift (Forest) Chest DragonFang,Haste->Exit->Hast2->Quick,,6019304
278,Rift (Forest) Chest Ribbon,2000 gil,,6019304
279,Rift (Forest) Chest Enhancer,2000 gil,,6019304
280,Rift (Forest) Chest Lillith Rod,Flame Whip,,6019304
281,Rift (Cave) Chest Angel Ring,25000 gil,,6019304
282,Rift (Cave) Chest Coral Ring,Agility,,6019304
283,Rift (Castle) Chest Thor Hammer,8000 gil,,6019304
284,Rift (Castle) Chest Running Shoes,Cursed Shield,,6019304
285,Rift (Castle) Chest Red Shoes,HiPotion,,6019304
286,Rift (Castle) Chest Rainbow Dress,Revivify,,6019304
287,Rift (Castle) Chest ManEater,Golden Shield,,6019304
288,The Void Chest Pinwheel,DarkMatter,,6019304
289,The Void Chest Elixir,Lamia's Tiara,,6019304
290,The Void Chest Ragnarok,Ogre Killer,MIB,6019304
291,Byblos New,Masamune,,6019304
292,Siren New,Flame Ring,,6019304
293,Magisa & Forza New,Tinkerbell,,6019304
294,Sergeant & DeathClaw New,Mirage Vest,,6019304
295,Sol Cannon New,Genji Gloves,,6019304
296,ArchaeAvis New,DarkSuit,,6019304
297,Titan New,Genji Shield,,6019304
298,Gilgamesh 2 New,Enhancer,,6019304
299,Abductor New,Holy Lance,,6019304
300,HiryuuPlant New,Magic Lamp,,6019304
301,Carbunkle New,Earth Hammer,,6019304
302,Gilgamesh 4 New,Genji Shield,,6019304
303,Antlion New,Ribbon,,6019304
304,Merugene New,Judgement Staff,,6019304
305,Odin New,Excailbur,,6019304
306,Leviathan New,Excailbur,,6019304
307,Stalker New,Magic Lamp,,6019304
308,Crayclaw New,Flame Ring,,6019304
0,Wind Crystal Knight,Black Ability Progressive,,6097998
1,Wind Crystal BlueMage,Mantra,,6097998
2,Wind Crystal BlackMage,Monk Job Crystal,,6097998
3,Wind Crystal WhiteMage,Genji Helm,,6097998
4,Wind Crystal Monk,Gale Bow,,6097998
5,Wind Crystal Thief,Black Ability Progressive,,6097998
6,Fire Crystal Mediator,Water Scroll,,6097998
7,Fire Crystal Geomancer,RisingSun,,6097998
8,Fire Crystal Ninja,Mediator Job Crystal,,6097998
9,Black Choco Crystals Bard,Bronze Helm,,6097998
10,Black Choco Crystals Hunter,Summon Ability Progressive,,6097998
11,Earth Crystal Samurai,Black Ability Progressive,,6097998
12,Earth Crystal Dragoon,Void->Demi->Qrter->Old,,6097998
13,Earth Crystal Chemist,Equip Axes,,6097998
14,Earth Crystal Dancer,Air Lance,,6097998
15,Leviathan Esper Levia,Gungnir,,6097998
16,Titan Titan,Bolt Black Magic Progressive,,6097998
17,Carbuncle Crbnkl,????->Fusion->Exploder->DrkShock,,6097998
18,Syldra Syldra,BlueMage Job Crystal,,6097998
19,Odin Odin,Condemn->Roulette->AquaRake,,6097998
20,Phoenix Phenix,Cabin,,6097998
21,Bahamut Bahmut,Venom->Drain->Break,,6097998
22,Life (or Strength) Song from Crescent Town bard Vitality,GrnBeret,,6097998
23,Temptation Song at Lix Charm,Elixir,,6097998
24,Love Song at Istory Love,Equip Swords,,6097998
25,Requiem Song at Kelb Requiem,Thunder Bow,,6097998
26,Speed Song at Surgate Speed,Equip Katana,,6097998
27,Magic Song at Ancient Library Magic,Image,,6097998
28,Power Song from Crescent Town Power,GbnPnch->Emision->Missle->Blwfsh,,6097998
29,Hero Song from Crescent Town Hero,Armor->Shell->Wall->Dispel,,6097998
30,"Fork Tower, two Magics Holy",ManEater,,6097998
31,"Fork Tower, two Magics Flare",Ice Black Magic Progressive,,6097998
32,Meteo Meteo,Mythril Armor,,6097998
33,"5 potions in Wind Shrine, bottom left guy Potion",Fire Sword Magic Progressive,,6097998
34,"8 potions, Pirate after Torna Canal Key acquired Potion",Training Suit,,6097998
35,Chancellor at Tycoon Healing Staff,GbnPnch->Emision->Missle->Blwfsh,,6097998
36,Magisa & Forza Mythril Helm,Agility,,6097998
37,CornaJar at Kelb CornaJar,Tent,,6097998
38,Ribbon from girl in Rugor Ribbon,Charm->Hero@Song,,6097998
39,Mirage Vest from Chocobo Tour/Mirage Village Mirage Vest,Slow->Stop->Slow2,,6097998
40,12 Kuzar Events Assassin,Strength,,6097998
41,12 Kuzar Events Apollo's Harp,Iron Shield,,6097998
42,12 Kuzar Events Excalibur,Geomancer Job Crystal,,6097998
43,12 Kuzar Events Flame Whip,Vampire->MindBlst->WhiteWind,,6097998
44,12 Kuzar Events Earth Bell,Comet->Meteo,,6097998
45,12 Kuzar Events Holy Lance,Antdt->Image->Heal,,6097998
46,12 Kuzar Events Masamune,Berserk,,6097998
47,12 Kuzar Events Wizard Rod,Sleep->Bio->Flare Sword,,6097998
48,12 Kuzar Events Rune Axe,AntiMagic Bow,,6097998
49,12 Kuzar Events Sage's Staff,Condemn->Roulette->AquaRake,,6097998
50,12 Kuzar Events Sasuke,Sleep->Bio->Flare Sword,,6097998
51,12 Kuzar Events Yoichi Bow,Silver Harp,,6097998
52,Shiva Shiva,Enhancer,,6097998
53,Ifrit Ifrit,Bolt Sword Magic Progressive,,6097998
54,Water Crystal Samurai,Kotetsu,,6097998
55,Water Crystal Berserker,Vampire->MindBlst->WhiteWind,,6097998
56,Water Crystal MysticKnight,Angel Ring,,6097998
57,Water Crystal TimeMage,Thunder Bow,,6097998
58,Water Crystal Summoner,Dagger,,6097998
59,Brave Blade Brave Blade,Crystal Shield,,6097998
60,Chicken Knife Chicken Knife,Chicken Knife,,6097998
61,Tycoon Castle Cabin Cabin,HP +X%,,6097998
62,Walse Tower Chest GoGo,Summon Ability Progressive,,6097998
63,Pyramid Top Pyramid Tablet,Bandana,,6097998
64,Toad Event Toad,Dimen Ability Progressive,,6097998
65,Aegis Shield Chest Aegis Shield,Mage Masher,,6097998
66,Lone Wolf Barrel Cabin,Shuriken,,6097998
67,Lone Wolf Chest Thunder Whip,Thunder Whip,,6097998
68,Moat Item Epee,Bolt Sword Magic Progressive,,6097998
69,Shop Backdoor Lamia Harp,Throw,,6097998
70,Top of the Falls Magic Lamp,Ribbon,,6097998
71,Wind Shrine Chest Broadsword,Artemis Bow,,6097998
72,Beginner's House Chest Ether,Sleep->Psych->Doom,,6097998
73,Beginner's House Chest 100,Staff,,6097998
74,Beginner's House Chest Potion,Chain Whip,,6097998
75,Beginner's House Chest Phoenix Down,Red Shoes,,6097998
76,Beginner's House Chest Tent,Fire Bow,MIB,6097998
77,Beginner's House Chest Leather Shoes,RisingSun,,6097998
78,Pirate's Cave Chest Leather Cap,Mute->Psych->Holy Sword,,6097998
79,Pirate's Cave Chest Tent,Soot,,6097998
80,Pirate's Cave Chest Ether,Angel Gwn,,6097998
81,Pirate's Cave Chest 300,1000 gil,,6097998
82,Wind Shrine Chest Tent,Silver Harp,,6097998
83,Wind Shrine Chest Leather Cap,Thief Knife,,6097998
84,Wind Shrine Chest Staff,Thunder Bow,,6097998
85,Tule Barrel 150,Ice Sword Magic Progressive,,6097998
86,Tule Box Leather Shoes,Kaiser Knuckles,,6097998
87,Tule Barrel Potion,Armor->Shell->Wall->Dispel,,6097998
88,Tule Box Tent,5000 gil,,6097998
89,Tule Bush Phoenix Down,MP +X%,,6097998
90,Ship Graveyard Chest Flail,White Ability Progressive,,6097998
91,Ship Graveyard Chest Phoenix Down,Staff of Light,,6097998
92,Ship Graveyard Chest Tent,1000 gil,,6097998
93,Ship Graveyard Box 990,18000 gil,,6097998
94,Ship Graveyard Chest Potion,Equip Spears,,6097998
95,Ship Graveyard Chest Antidote,Summoner Job Crystal,,6097998
96,Carwen Barrel Antidote,TimeMage Job Crystal,,6097998
97,Carwen Box Ice Rod,Chain Whip,,6097998
98,Carwen Pot 1000,Mute->Psych->Holy Sword,,6097998
99,North Mountain Chest Soft,2000 gil,,6097998
100,North Mountain Chest Phoenix Down,9900 gil,,6097998
101,Walse Town Pot Glasses,Slash,,6097998
102,Tycoon Castle Pot Hi-Potion,Sasuke,,6097998
103,Tycoon Castle Pot Ether,Flame Whip,,6097998
104,Tycoon Castle Barrel Elixir,2000 gil,,6097998
105,Tycoon Castle Barrel Phoenix Down,Full Moon,,6097998
106,Tycoon Castle Barrel Cabin,Enhancer,,6097998
107,Tycoon Castle Pot Elixir,Elixir,,6097998
108,Tycoon Castle Pot Phoenix Down,Scan->Charm->Holy,,6097998
109,Tycoon Castle Pot Maiden's Kiss,Sleep->Bio->Flare Sword,,6097998
110,Tycoon Castle Chest Shuriken,Remora->Shoat->Levia,,6097998
111,Tycoon Castle Chest Giyaman,Scan->Charm->Holy,,6097998
112,Tycoon Castle Chest Katana,Katana,,6097998
113,Walse Castle Chest Elf Cape,Flame Shield,,6097998
114,Walse Castle Pot 1000,Running Shoes,,6097998
115,Walse Castle Pot Drag,12000 gil,,6097998
116,Walse Castle Box 490,Leather Shoes,,6097998
117,Walse Castle Barrel Tent,GilToss,,6097998
118,Walse Castle Barrel Phoenix Down,DragonFang,,6097998
119,Walse Tower Chest Silk robe,Black Ability Progressive,,6097998
120,Walse Tower Chest Maiden's Kiss,Masamune,,6097998
121,Walse Tower Chest Silver Armlet,Wall Ring,,6097998
122,Walse Tower Chest Ether,FrogSong->TinySong->MoonFlut,,6097998
123,Tycoon Meteor Chest Phoenix Down,5000 gil,,6097998
124,Karnak Castle Chest Gungnir,Air Blade,MIB,6097998
125,Karnak Castle Chest Thunder Scroll,Bone Mail,MIB,6097998
126,Karnak Castle Chest 2000,Bronze Helm,MIB,6097998
127,Karnak Castle Chest Elixir,Killer Bow,MIB,6097998
128,Karnak Castle Chest Ribbon,Iron Helm,MIB,6097998
129,Karnak Castle Chest Shuriken,Mythril Sword,,6097998
130,Karnak Castle Chest Elf Cape,Ice Rod,MIB,6097998
131,Karnak Castle Chest Guardian,Magus,,6097998
132,Karnak Town Barrel Fire Rod,150 gil,,6097998
133,Steamship Chest Cabin,Red1->Red2->Red3->X-Magic,,6097998
134,Steamship Chest Phoenix Down,4400 gil,,6097998
135,Steamship Chest Elixir,Drain Sword,,6097998
136,Steamship Chest GrnBeret,Ancient Sword,,6097998
